# ./lmbench benchmarking results
# Name: ./lmbench/baseline-03-Apr-23-18h09m, runs: 11
bench;avg;med;stddev;lowest;highest;
Simple syscall;0.43050909090909095;0.4296;0.005620329098331672;0.4227;0.4385;
Simple read;0.5252272727272728;0.5254;0.004801153442680751;0.5177;0.5335;
Simple write;0.5059636363636364;0.5072;0.008346177429575202;0.4943;0.5261;
Simple stat;0.9145727272727272;0.9126;0.0061577875172368676;0.9053;0.9262;
Simple fstat;0.6569636363636364;0.6564;0.005449982940302374;0.6489;0.6669;
Simple open/close;1.8259272727272728;1.8215;0.012513926126817192;1.8075;1.8479;
Select on 10 fd's;0.6104545454545455;0.6086;0.0076523749891917025;0.599;0.6267;
Select on 100 fd's;1.2656545454545454;1.2652;0.008101106954256176;1.2566;1.2824;
Select on 250 fd's;2.364309090909091;2.3631;0.018133467529077272;2.3333;2.396;
Select on 500 fd's;4.358045454545455;4.3122;0.10998372080892332;4.227;4.523;
Select on 10 tcp fd's;0.6939545454545455;0.6934;0.006539580697757261;0.6843;0.7086;
Select on 100 tcp fd's;5.811718181818182;5.729;0.43017465547713996;5.2162;6.5522;
Select on 250 tcp fd's;15.293018181818182;15.5986;0.6480192054086918;14.0086;16.2242;
Select on 500 tcp fd's;31.157409090909095;30.9352;0.5505602889198761;30.6412;32.3735;
Signal handler installation;0.49429090909090906;0.4934;0.004666603698906159;0.4876;0.5008;
Signal handler overhead;1.330581818181818;1.326;0.014604159941718892;1.3186;1.374;
Protection fault;0.8425363636363635;0.8425;0.01766590309696634;0.8022;0.879;
Pipe latency;5.739436363636364;5.7354;0.041521654213133585;5.6638;5.8125;
AF_UNIX sock stream latency;8.859872727272727;8.8842;0.15568784673131913;8.4375;9.0863;
Process fork+exit;135.50910909090905;135.7975;4.979275081676877;128.0375;143.8421;
Process fork+execve;371.86251818181813;372.6552;5.682935780485642;361.4;381.4643;
Process fork+/bin/sh;828.4018545454546;828.0769;6.2308657580794256;819.4286;838.1538;
AF_UNIX sock stream bandwidth;7292.725454545454;7312.23;102.53099348388949;7091.68;7430.94;
Pipe bandwidth;3338.560909090909;3380.81;84.24923721851025;3181.67;3432.9;
