# ./lmbench benchmarking results
# Name: ./lmbench/linklistdef-06-Apr-23-00h12m, runs: 11
bench;avg;med;stddev;lowest;highest;
Simple syscall;0.4327818181818182;0.4301;0.006782707716461191;0.4259;0.4479;
Simple read;0.5224;0.5202;0.003898950907849192;0.5187;0.5304;
Simple write;0.5027999999999999;0.5001;0.00605309838016862;0.4955;0.5112;
Simple stat;0.9050181818181818;0.9032;0.005960143101060906;0.8979;0.9223;
Simple fstat;0.6556181818181819;0.6533;0.005616666462303098;0.649;0.665;
Simple open/close;1.8356727272727271;1.8248;0.03245825545385086;1.8015;1.9252;
Select on 10 fd's;0.6846272727272726;0.6864;0.0058724458136887705;0.6756;0.6946;
Select on 100 fd's;1.3506727272727275;1.3473;0.026583866977380737;1.3287;1.4254;
Select on 250 fd's;2.510436363636364;2.4822;0.0681287987795212;2.4523;2.6824;
Select on 500 fd's;4.580727272727272;4.398;0.34105070028558687;4.3078;5.2516;
Select on 10 tcp fd's;0.7693090909090908;0.7701;0.0034405217747668373;0.7635;0.7759;
Select on 100 tcp fd's;5.6834454545454545;5.4952;0.3963425546937358;5.2311;6.4056;
Select on 250 tcp fd's;14.849772727272727;15.4606;1.1466895403654256;12.4749;15.8259;
Select on 500 tcp fd's;30.09158181818182;30.7067;1.8063704627679043;26.4651;32.0116;
Signal handler installation;0.5341727272727274;0.5312;0.006237728448589851;0.5268;0.5463;
Signal handler overhead;1.5341818181818183;1.5318;0.008495326863187571;1.5242;1.5528;
Protection fault;0.8449636363636363;0.8435;0.01597169500467355;0.8148;0.8854;
Pipe latency;5.8237272727272735;5.8296;0.06167619388842017;5.6926;5.899;
AF_UNIX sock stream latency;9.027781818181818;9.0318;0.10711319261910683;8.8774;9.2309;
Process fork+exit;131.92472727272727;130.881;3.1606400212301393;127.2346;136.9146;
Process fork+execve;366.76573636363634;364.7;4.85777723136691;360.9032;377.4286;
Process fork+/bin/sh;874.0046545454545;873.6923;8.45481614136567;861.0833;889.5833;
AF_UNIX sock stream bandwidth;4678.1163636363635;4769.8;245.0362635601191;4116.0;4924.67;
Pipe bandwidth;2798.1772727272723;2775.83;68.20175685432541;2651.15;2870.56;
