# ./lmbench benchmarking results
# Name: ./lmbench/midas-06-Apr-23-12h00m, runs: 11
bench;avg;med;stddev;lowest;highest;
Simple syscall;0.4605090909090909;0.4582;0.008639807925627489;0.4513;0.4772;
Simple read;0.5517545454545454;0.5526;0.004855617859077101;0.5431;0.5592;
Simple write;0.5269454545454546;0.5237;0.006586261684385658;0.5191;0.5398;
Simple stat;0.9299454545454545;0.9306;0.008030211548935753;0.9197;0.9445;
Simple fstat;0.6881090909090909;0.6894;0.004503827573288897;0.6798;0.6937;
Simple open/close;1.9019272727272727;1.8969;0.010190467105815648;1.8901;1.9209;
Select on 10 fd's;2.035509090909091;2.0252;0.042592539990119374;1.9998;2.1629;
Select on 100 fd's;2.9905636363636363;2.9163;0.18115008480025752;2.8807;3.4812;
Select on 250 fd's;4.563118181818182;4.4431;0.304869262048749;4.364;5.4656;
Select on 500 fd's;7.443672727272727;7.1947;0.587350434487421;6.7436;8.3652;
Select on 10 tcp fd's;2.1982363636363633;2.1387;0.1402582441117895;2.0932;2.6213;
Select on 100 tcp fd's;7.510636363636364;7.3323;0.7207350430734234;6.7057;9.0352;
Select on 250 tcp fd's;16.603599999999997;17.3091;1.3211333571115094;14.0257;17.874;
Select on 500 tcp fd's;32.23504545454546;32.7649;1.6954638310737675;28.1005;33.9691;
Signal handler installation;1.7900999999999998;1.8225;0.14021383020878572;1.3518;1.8715;
Signal handler overhead;3.1675;3.2876;0.29334948440384206;2.5339;3.3768;
Protection fault;0.8050636363636364;0.8748;0.40164872547748237;0.0687;1.5922;
Pipe latency;7.492709090909091;7.607;0.3161221324814637;6.9029;7.8711;
AF_UNIX sock stream latency;10.176690909090908;10.2706;0.2106408725534594;9.6921;10.3239;
Process fork+exit;144.5216909090909;142.8873;4.4163225583066605;138.4321;153.1579;
Process fork+execve;403.10940909090914;400.8148;9.027361882375821;387.08;417.84;
Process fork+/bin/sh;939.9841454545455;942.3636;7.940534416679996;924.5455;951.8333;
AF_UNIX sock stream bandwidth;2495.2454545454543;2486.31;21.137638710317983;2461.81;2522.26;
Pipe bandwidth;2431.590909090909;2439.71;55.29656169724472;2323.89;2519.15;
