# ./lmbench benchmarking results
# Name: ./lmbench/midas-no-exec-07-Apr-23-23h15m, runs: 11
bench;avg;med;stddev;lowest;highest;
Simple syscall;0.45957272727272724;0.4563;0.008077813712890718;0.4511;0.4739;
Simple read;0.5482272727272727;0.5477;0.0049127091043335265;0.5429;0.557;
Simple write;0.5251545454545454;0.5229;0.005277630948612453;0.519;0.5353;
Simple stat;0.9363727272727274;0.9369;0.007738110047514064;0.9276;0.9563;
Simple fstat;0.6822909090909092;0.6815;0.0065366734026990865;0.6751;0.6999;
Simple open/close;1.8853363636363634;1.8839;0.014225986000483424;1.8617;1.9175;
Select on 10 fd's;2.130818181818182;2.0423;0.21396036089205364;1.9926;2.7548;
Select on 100 fd's;2.8237090909090914;2.7256;0.24771378445347866;2.6754;3.3916;
Select on 250 fd's;3.9126454545454545;3.8278;0.23389162744405742;3.7596;4.5858;
Select on 500 fd's;6.179218181818182;5.9929;0.5424164549297086;5.6202;7.1424;
Select on 10 tcp fd's;2.146554545454545;2.1254;0.054001605424558966;2.0871;2.2856;
Select on 100 tcp fd's;8.26461818181818;8.4163;0.5522307913745385;7.3222;9.2551;
Select on 250 tcp fd's;16.668;16.0522;1.3163518609468294;14.5494;18.4916;
Select on 500 tcp fd's;34.5281;34.1424;1.6025323318253057;30.8854;37.927;
Signal handler installation;1.833918181818182;1.8338;0.17887952684409403;1.4222;2.2603;
Signal handler overhead;3.032227272727273;3.2931;0.35532518292380383;2.5374;3.3219;
Protection fault;0.8143181818181819;0.8216;0.4672104583554335;0.0043;1.5901;
Pipe latency;7.48580909090909;7.6441;0.4179090450293645;6.7946;7.9241;
AF_UNIX sock stream latency;10.166427272727272;10.1858;0.15857451985456994;9.7247;10.3576;
Process fork+exit;144.5282909090909;141.9733;5.694309506780282;138.7397;156.9839;
Process fork+execve;398.8699363636364;398.32;8.04524235278474;384.4286;411.963;
Process fork+/bin/sh;903.1580818181818;901.9167;9.557599303345253;890.4615;922.6667;
AF_UNIX sock stream bandwidth;2487.2372727272727;2508.21;62.66757086417605;2344.15;2552.26;
Pipe bandwidth;2374.819090909091;2374.36;53.107132110402446;2252.97;2467.75;
