# ./lmbench benchmarking results
# Name: ./lmbench/rbtreedef-05-Apr-23-15h03m, runs: 11
bench;avg;med;stddev;lowest;highest;
Simple syscall;0.43405454545454547;0.4325;0.005185357642853334;0.4279;0.4432;
Simple read;0.5298181818181817;0.5304;0.00476632470984399;0.5209;0.5381;
Simple write;0.5050363636363636;0.5064;0.005503267248937044;0.4965;0.5143;
Simple stat;0.9115727272727273;0.913;0.004986361564597244;0.9013;0.9184;
Simple fstat;0.6636818181818182;0.661;0.006177939959951072;0.656;0.6743;
Simple open/close;1.8243636363636362;1.8203;0.02095862906373896;1.8034;1.8798;
Select on 10 fd's;0.6944272727272728;0.6922;0.005986665623638596;0.6881;0.7052;
Select on 100 fd's;1.627472727272727;1.6187;0.029787980825374732;1.6012;1.7177;
Select on 250 fd's;3.222336363636363;3.2147;0.054079340244887586;3.1548;3.3624;
Select on 500 fd's;6.211990909090909;6.1219;0.45914380685347467;5.7794;7.0681;
Select on 10 tcp fd's;0.7784818181818182;0.7769;0.008529501550161911;0.7657;0.7917;
Select on 100 tcp fd's;6.013345454545455;6.0158;0.3688276004354545;5.3713;6.7751;
Select on 250 tcp fd's;15.581999999999999;16.0828;1.065703613922404;13.3598;16.687;
Select on 500 tcp fd's;31.12766363636364;31.8517;1.3449006068531792;28.5767;32.1254;
Signal handler installation;0.5405272727272727;0.5382;0.009468041067342949;0.5279;0.5593;
Signal handler overhead;1.5613454545454546;1.5605;0.018267027604967945;1.532;1.5948;
Protection fault;0.8552454545454545;0.864;0.01793343062228466;0.8255;0.8849;
Pipe latency;5.9345;5.8663;0.16110241801695316;5.714;6.2742;
AF_UNIX sock stream latency;8.948281818181819;8.9523;0.12062698189182446;8.6661;9.1237;
Process fork+exit;135.4343909090909;135.7625;5.091587346782667;125.5;143.4625;
Process fork+execve;372.39516363636363;369.8276;9.142509165856422;356.9333;389.6667;
Process fork+/bin/sh;857.2470727272728;854.5833;8.792856885004163;846.0;875.3077;
AF_UNIX sock stream bandwidth;4686.471818181818;4690.68;138.58212352367298;4445.1;4892.27;
Pipe bandwidth;2769.8618181818183;2786.21;74.71145668724839;2621.74;2891.57;
