# ./npb benchmarking results
# Name: ./npb/baseline-03-Apr-23-18h09m, runs: 5
bench;avg;med;stddev;lowest;highest;
MPI.BT;274.832;274.06;1.4831641851123638;273.76;277.74;
MPI.CG;5.572;5.57;0.003999999999999915;5.57;5.58;
MPI.EP;5.3839999999999995;5.38;0.004898979485566252;5.38;5.39;
MPI.FT;24.055999999999997;24.06;0.01854723699099078;24.03;24.08;
MPI.IS;3.164;3.16;0.004898979485566252;3.16;3.17;
MPI.LU;142.214;142.2;0.24540578640283794;141.86;142.54;
MPI.MG;15.504;15.48;0.09707728879609262;15.41;15.69;
MPI.SP;644.6940000000001;644.42;0.6173362130962234;643.88;645.52;
OMP.BT;102.142;102.14;0.17302023003105718;101.91;102.38;
OMP.CG;7.281999999999999;7.28;0.03310589071449365;7.25;7.34;
OMP.EP;1.8;1.59;0.2572158626523644;1.59;2.12;
OMP.FT;17.81;17.81;0.006324555320336624;17.8;17.82;
OMP.IS;2.66;2.66;0.0;2.66;2.66;
OMP.LU;81.58000000000001;81.49;0.21326040420106315;81.38;81.95;
OMP.MG;17.978;17.98;0.01326649916142153;17.96;18.0;
OMP.SP;209.95;209.86;0.32037478053055723;209.51;210.4;
