# ./npb benchmarking results
# Name: ./npb/linklistdef-06-Apr-23-00h12m, runs: 5
bench;avg;med;stddev;lowest;highest;
MPI.BT;270.596;270.73;0.4032170631310215;269.84;271.0;
MPI.CG;5.506;5.51;0.016248076809271837;5.48;5.53;
MPI.EP;5.392;5.38;0.01600000000000006;5.38;5.42;
MPI.FT;23.663999999999998;23.66;0.03720215047547644;23.6;23.71;
MPI.IS;3.1059999999999994;3.09;0.01959591794226544;3.09;3.13;
MPI.LU;140.67000000000002;140.69;0.399749921826137;140.06;141.3;
MPI.MG;15.267999999999997;15.27;0.03487119154832528;15.23;15.33;
MPI.SP;632.85;633.48;2.1390371665775225;628.87;634.99;
OMP.BT;100.67999999999999;100.64;0.11045361017187405;100.52;100.81;
OMP.CG;7.062;7.09;0.0530659966456863;6.96;7.1;
OMP.EP;1.5539999999999998;1.58;0.06216108107168027;1.43;1.59;
OMP.FT;17.658;17.66;0.011661903789691326;17.64;17.67;
OMP.IS;2.65;2.65;0.0;2.65;2.65;
OMP.LU;81.146;81.32;0.35875339719645816;80.51;81.54;
OMP.MG;17.928000000000004;17.93;0.01720465053408555;17.9;17.95;
OMP.SP;207.02800000000002;206.41;0.9110082326741038;206.27;208.54;
