# ./npb benchmarking results
# Name: ./npb/midas-06-Apr-23-12h00m, runs: 5
bench;avg;med;stddev;lowest;highest;
MPI.BT;258.32800000000003;258.96;1.2289735554518713;255.89;259.16;
MPI.CG;5.466;5.47;0.016248076809271837;5.44;5.49;
MPI.EP;5.444;5.39;0.10307278981380122;5.39;5.65;
MPI.FT;24.266;24.12;0.26272418997876906;24.08;24.78;
MPI.IS;3.06;3.06;0.006324555320336764;3.05;3.07;
MPI.LU;134.512;134.63;1.1175222592861425;132.9;136.08;
MPI.MG;14.84;14.84;0.03949683531626324;14.77;14.89;
MPI.SP;604.1899999999999;603.31;3.681722422997129;599.84;608.89;
OMP.BT;97.946;97.98;0.49685410333416624;97.08;98.57;
OMP.CG;6.651999999999999;6.65;0.08997777503361584;6.51;6.77;
OMP.EP;1.812;1.66;0.2489497941352834;1.58;2.12;
OMP.FT;17.53;17.53;0.017888543819997937;17.51;17.55;
OMP.IS;2.5999999999999996;2.6;0.008944271909999166;2.59;2.61;
OMP.LU;78.822;78.7;0.37615954062073415;78.3;79.37;
OMP.MG;17.744;17.76;0.04498888751680777;17.67;17.8;
OMP.SP;198.63799999999998;197.81;1.1347140608981645;197.63;200.24;
