# ./npb benchmarking results
# Name: ./npb/midas-no-exec-07-Apr-23-23h15m, runs: 5
bench;avg;med;stddev;lowest;highest;
MPI.BT;269.88800000000003;270.08;0.5127728541956967;268.99;270.47;
MPI.CG;5.492;5.49;0.011661903789690353;5.48;5.51;
MPI.EP;5.38;5.38;0.010954451150103088;5.36;5.39;
MPI.FT;23.637999999999998;23.64;0.02227105745131974;23.6;23.66;
MPI.IS;3.1239999999999997;3.13;0.007999999999999985;3.11;3.13;
MPI.LU;140.462;140.39;0.2557655176133049;140.13;140.84;
MPI.MG;15.251999999999999;15.24;0.021354156504062166;15.23;15.29;
MPI.SP;631.6360000000001;632.91;1.7507552655925493;628.91;633.22;
OMP.BT;100.648;100.62;0.10628264204469377;100.52;100.84;
OMP.CG;7.031999999999999;7.03;0.0271293199325011;6.99;7.07;
OMP.EP;1.6900000000000002;1.59;0.21014280858501908;1.57;2.11;
OMP.FT;17.68;17.69;0.017888543819998732;17.65;17.7;
OMP.IS;2.65;2.65;0.0;2.65;2.65;
OMP.LU;80.70400000000001;80.76;0.14458215657542214;80.44;80.85;
OMP.MG;17.926;17.92;0.013564659966249932;17.91;17.95;
OMP.SP;207.218;207.36;0.6992109838954232;206.07;208.18;
