# ./npb benchmarking results
# Name: ./npb/rbtreedef-04-Apr-23-09h54m, runs: 5
bench;avg;med;stddev;lowest;highest;
MPI.BT;270.932;271.05;0.3224530973645587;270.36;271.27;
MPI.CG;5.574;5.58;0.012000000000000158;5.56;5.59;
MPI.EP;5.422;5.37;0.09947864092356709;5.36;5.62;
MPI.FT;23.652;23.65;0.017204650534085382;23.63;23.68;
MPI.IS;3.1220000000000003;3.13;0.018330302779823355;3.1;3.14;
MPI.LU;141.142;141.28;0.3523861518277958;140.63;141.58;
MPI.MG;15.284;15.28;0.020591260281974184;15.26;15.32;
MPI.SP;636.1460000000001;636.17;0.8284588100805095;634.76;637.35;
OMP.BT;101.126;101.16;0.09971960689854077;100.93;101.2;
OMP.CG;7.26;7.26;0.06099180272790749;7.15;7.33;
OMP.EP;1.786;1.59;0.29261578904768626;1.47;2.16;
OMP.FT;17.690000000000005;17.69;0.014142135623730649;17.67;17.71;
OMP.IS;2.662;2.66;0.003999999999999915;2.66;2.67;
OMP.LU;81.38399999999999;81.6;0.35758076010881956;80.91;81.72;
OMP.MG;17.956;17.96;0.016248076809272274;17.93;17.98;
OMP.SP;207.916;207.81;0.3732345107301813;207.5;208.6;
